name,hubClub_names,deliveryOrganisation_name,firstFundingYear_name,clubType_names,inclusiveFocussedClubType_names,postcode,sport_name,age_names,ladcua_name,currentStatus_name,latitude,longitude
Thornleigh Salesian College,Bolton Rugby Club,,2017-18,Female focussed,,BL1 6PQ,Rugby Union,14;15;16,Bolton,Sustained - Not funded,53.60111611,-2.44229836
Ashton on Mersey School,HUB CLUB IN DEVELOPMENT,,2016-17,No specific focus,,M33 5BP,Roller Sport,14;15;16,Trafford,Sustained - Funded,53.41919542,-2.337566708
Newman RC College,Heyside Football Club,,2016-17,Inclusive (disability) focussed,,OL9 9QY,Football,14;15;16,Oldham,Sustained - Not funded,53.53882465,-2.149474498
Oldham Green Hill Community Sports Club,HUB CLUB IN DEVELOPMENT,,2017-18,BME focussed,,OL4 5EP,Multisport,14;15;16;17;18;19;20;21;22;23;24;25,Oldham,Sustained - Not funded,53.53848313,-2.085292567
Rumworth School,Bolton Table Tennis Club,,2017-18,No specific focus,,BL3 4TP,Table Tennis,14;15;16;17;18;19,Bolton,Sustained - Not funded,53.56821685,-2.47461937
St Damian's RC Science College,Tameside Volleyball Club,,2017-18,No specific focus,,OL6 8BH,Volleyball,14;15;16,Tameside,Sustained - Not funded,53.5089594,-2.075566872
Eden Boys School,HUB CLUB IN DEVELOPMENT,,2017-18,BME focussed,,BL1 3QE,Cricket,14;15;16,Bolton,Sustained - Not funded,53.59293169,-2.433584953
Oakwood Academy,HUB CLUB IN DEVELOPMENT,,2017-18,Inclusive (disability) focussed,Non-specific,M30 9DY,Multisport,14;15;16;17,Salford,Sustained - Not funded,53.49311595,-2.334625982
Bury College,Streetshakers Dance & Fitness,,2017-18,Inclusive (disability) focussed,Mobility,BL9 0BG,Dance,16;17;18;19,Bury,Temporarily inactive,53.58736753,-2.294653555
Chorlton High School,Girls CVL,,2017-18,Female focussed,,M21 7SL,Basketball,14,Manchester,Sustained - Not funded,53.43614716,-2.263602942
Manchester College,Manchester Giants,,2017-18,BME focussed,,M12 6BA,Basketball,18,Manchester,Sustained - Not funded,53.46950421,-2.215913977
Manchester Giants 2,Manchester Giants,,2017-18,BME focussed;Female focussed,,M15 6HP,Basketball,16,Manchester,Sustained - Not funded,53.46466223,-2.237808296
Manchester Rugby Union Development,Manchester Rugby Union group,,2017-18,Female focussed,,M23 9BP,Rugby Union,14,Manchester,Sustained - Not funded,53.40185957,-2.294874622
Our Ladys VI Football,CITC Foundation,,2017-18,Inclusive (disability) focussed,,M9 0RP,Football,14,Manchester,Sustained - Funded,53.53579929,-2.217186661
Manchester Creative and Media Academy,NONE,,2017-18,Female focussed,,M9 7SS,Basketball,14;15;16,Manchester,Sustained - Funded,53.52662863,-2.180177823
Heaton Norris Pavilion - Multisports / Fitness Club,HUB CLUB IN DEVELOPMENT,,2017-18,Female focussed,,SK1 1JA,Multisport,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.41005193,-2.154965533
Werneth School - Fit Club,Life Leisure,,2017-18,Female focussed,,SK6 3BX,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.41248861,-2.104931183
Stockport School - Fit Club,Life Leisure,,2017-18,Female focussed,,SK2 6BW,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.3911051,-2.137602407
Heaton School - Multisports / Fit club,Hub Club in Development,,2017-18,Female focussed;Inclusive (disability) focussed,,SK4 4RE,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.42607202,-2.186013521
Brinnington Football Club,Hub Club in Development,,2017-18,Male focussed,,SK5 8EY,Football,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.4287708,-2.130243267
st cuthberts High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL11 3LU,Boxing,16;17;18,Rochdale,Sustained - Not funded,53.60097818,-2.187083318
Bury Athletics Track,Wheels 4 All,,2017-18,Inclusive (disability) focussed,Mobility,BL9 0AJ,Cycling,16;17;18;19;20;21,Bury,Sustained - Not funded,53.59255091,-2.296064626
Pheonix Centre,Streetshakers Dance & Fitness,,2017-18,Female focussed;Inclusive (disability) focussed,Mental health,M25 1GG,Dance,15;16;17;18,Bury,Temporarily inactive,53.52820653,-2.276545626
Marple Hall School Trampolining Club,Stockport Trampolining Club,,2017-18,Female focussed,,SK6 6LB,Other,14;15;16,Stockport,Sustained - Not funded,53.39750829,-2.087086054
St James Catholic High School - Back2Netball,Didsbury Netball Club,,2017-18,Female focussed,,SK8 6PZ,Netball,14;15;16,Stockport,Sustained - Not funded,53.3595852,-2.196889253
KIDS - Woodbank Youth Centre Multisport,Hub Club in Development,,2017-18,Inclusive (disability) focussed,,SK1 4BN,Multisport,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.40661207,-2.137712617
Matthew Moss High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL11 3LU,Boxing,15;16;17;18,Rochdale,Sustained - Not funded,53.60097818,-2.187083318
failinge Park High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL12 6LD,Boxing,14;15;16;17,Rochdale,Sustained - Not funded,53.62553021,-2.167352157
Astley & Tyldesley CC,Astley & Tyldesley Cycling Club,,2017-18,No specific focus,,M29 7DW,Cycling,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.50509402,-2.469706929
Astley Sports Village,HUB CLUB IN DEVELOPMENT,,2017-18,Female focussed,,SK16 5BL,Gymnastics,14;15;16;17,Tameside,Sustained - Funded,53.46914852,-2.069755965
Bolton Impact Trust - Youth Challenge,HUB CLUB IN DEVELOPMENT,,2017-18,No specific focus,,BL1 6JT,Gym/Fitness,14;15;16,Bolton,Sustained - Not funded,53.59965256,-2.453844221
Infinity Dance,Infinity Dance,,2017-18,Female focussed,,OL4 2AG,Dance,13;14;15;16;17;18;19;20,Oldham,Sustained - Not funded,53.54480797,-2.09033123
Failsworth LGBT Group,Failsworth School,,2017-18,Multisport,,M35 9HA,Multisport,14;15;16,Oldham,Sustained - Not funded,53.5074302,-2.144885361
Squared Circle Wresing,Squared Circle Academy,,2017-18,Multisport,,OL2 8DW,Wrestling,14;15;16;17;18;19,Oldham,Sustained - Not funded,53.58700106,-2.081990929
wrsc - Manchester Rangers RLFC,Manchester Rangers RLFC Open age rugby,,2018-19,Multisport,,M18 8RL,Rugby League,16;17;18,Manchester,Temporarily inactive,53.46625047,-2.151238148
Swythamley Park - Multisports,HUB CLUB IN DEVELOPMENT,,2018-19,Multisport,,SK3 0NF,Multisport,14;15;16;17;18;19,Stockport,Temporarily inactive,53.40316744,-2.19111841
Football St cuthberts,Rochdale AFC,,2017-18,No specific focus,,OL16 4RX,Football,13;14;15;16;17;18;19,Rochdale,Sustained - Not funded,53.59004223,-2.137719019
Rochdale multi sports,#thrive,,2017-18,Multisport,,OL16 2HZ,Multisport,12;13;14;15;16;17,Rochdale,Sustained - Not funded,53.61816655,-2.147970576
Parrswood High School,Trafford Handball Club,,2018-19,No specific focus,,M20 5PG,Handball,14;15;16,Manchester,Sustained - Not funded,53.40840716,-2.218071799
Stretford High School,Trafford Handball Club,,2018-19,No specific focus,,M32 0XA,Handball,14;15;16,Trafford,Sustained - Not funded,53.45695425,-2.292273928
Fairfield High Volleyfit,Tameside Volleyball Club,,2018-19,Female focussed,,M43 6AB,Gym/Fitness,14;15;16,Tameside,Sustained - Not funded,53.47486415,-2.149867437
WAFC BME,Wigan Athletic Community Trust,,2018-19,BME focussed,,WN7 3JD,Multisport,14;15;16,Wigan,Sustained - Not funded,53.4876672,-2.522887192
Broughton Park RFU,Broughton Park RFC,,2018-19,Female focussed,,M21 7TL,Rugby Union,14;15;16;17,Manchester,Sustained - Not funded,53.43607727,-2.254374146
Wythenshawe Park RFU,Wythenshawe RFU,,2018-19,Female focussed,,M22 4JF,Rugby Union,14;15;16;17,Manchester,Sustained - Not funded,53.40361119,-2.256527159
Bury RUFC,Bury RUFC,,2018-19,Female focussed,,BL9 9JX,Rugby Union,14;15;16;17,Bury,Temporarily inactive,53.58347238,-2.299385096
Leigh RFU,Leigh RUFC,,2018-19,Female focussed,,WN7 3NA,Rugby Union,14;15;16;17,Wigan,Sustained - Not funded,53.48078484,-2.519984403
Marshall Fencing BAME Ladies,Marshall Fencing Club,,2018-19,BME focussed;Female focussed,,OL9 6QH,Fencing,14;15;16;17;18;19,Oldham,Sustained - Not funded,53.54721679,-2.12977646
Golborne Sports Club,Golborne Sports & Social Club,,2018-19,Female focussed,,WA3 3AD,Hockey,14;15;16;17;18,Wigan,Sustained - Not funded,53.47619904,-2.597155876
Manchester High School for Girls,HUB CLUB IN DEVELOPMENT,,2018-19,Female focussed,,M14 6HS,Handball,14;15;16,Manchester,Sustained - Not funded,53.44695788,-2.221130256
LGBT Softball Worthington Park (Proud Trust),Manchester Softball league,,2018-19,No specific focus,,M33 2DQ,Baseball/Softball,14;15;16;17;18,Trafford,Sustained - Not funded,53.42304376,-2.310778361
Levenshulme Amateur Boxing Club,HUB CLUB IN DEVELOPMENT,,2018-19,BME focussed,,M19 2QP,Boxing,14;15;16;17,Manchester,Sustained - Not funded,53.43776315,-2.188759419
Elton High School Dodgeball (Manchester Bees),Manchester Bees,,2018-19,No specific focus,,BL8 1RN,Dodgeball,14;15;16;17,Bury,Sustained - Not funded,53.6004752,-2.325423824
Barlow Moor High School Dodgeball (Manchester Bees),Manchester Bees,,2018-19,No specific focus,,M20 6BX,Dodgeball,14;15;16;17,Manchester,Sustained - Not funded,53.41450989,-2.218734981
Oldham Sports Centre Water Polo,HUB CLUB IN DEVELOPMENT,,2018-19,No specific focus,,OL9 6AF,Swimming,14;15;16;17;18;19,Oldham,Sustained - Not funded,53.5409635,-2.117865171
Oldham Sports Centre Synchronised Swimming,HUB CLUB IN DEVELOPMENT,,2018-19,Female focussed,,OL9 6AF,Swimming,14;15;16;17;18;19,Oldham,Sustained - Not funded,53.5409635,-2.117865171
Health Champions Millennium Centre,HUB CLUB IN DEVELOPMENT,,2018-19,Multisport,,OL9 6QB,Multisport,14;15;16,Oldham,Sustained - Not funded,53.54442374,-2.127307789
Tyldesley NC Back to Netball,Tyldesley Netball Club,,2018-19,Female focussed,,WN7 4JY,Netball,16;17;18;19,Wigan,Sustained - Not funded,53.48921049,-2.529674119
Wigan Mosque Satellite,Wigan Athletic Community Trust,,2018-19,BME focussed,,WN5 0UN,Football,14;15;16,Wigan,Sustained - Not funded,53.54961462,-2.657587377
Sale Grammer School,Trafford Handball Club,,2019-20,Female focussed;LSEG focussed,,M33 3NH,Handball,14;15;16,Trafford,Active,53.41785837,-2.313599675
Wellington School,Trafford Handball Club,,2019-20,Female focussed;LSEG focussed,,WA15 7RH,Handball,14;15;16,Trafford,Active,53.39240163,-2.332812884
Broadoak School,Trafford Handball Club,,2019-20,Female focussed;LSEG focussed,,M31 4BU,Handball,14;15;16,Trafford,Temporarily inactive,53.41197404,-2.430644072
St John Fisher HS,Studio One Yoga,,2019-20,Female focussed,,WN6 7RN,Yoga,14;15;16,Wigan,Active,53.55796049,-2.652009783
Orrell Ju Jitsu satellite,Orrell Ju Jitsu,,2019-20,Female focussed,,WN6 7TA,Martial Arts,14;15;16;17;18,Wigan,Active,53.55901035,-2.650712375
Wigan Athletic CT LGBT,Wigan Athletic Community Trust,,2019-20,LGBT focussed,,WN1 1RU,Multisport,14;15;16;17,Wigan,Active,53.55047854,-2.635803251
Little Rocky's @ astley sports village,Little Rocky's,,2019-20,Female focussed,,SK16 5BL,Boxing,14;15;16;17;18;19,Tameside,Active,53.46914852,-2.069755965
Tameside United FC,Tameside united FC,,2019-20,Female focussed;LGBT focussed,,SK14 5PL,Football,14;15;16;17;18;19,Tameside,Active,53.44888728,-2.067765107
Levenshulme High School,Trafford Handball Club,,2019-20,BME focussed;Female focussed,,M19 1FS,Handball,14;15;16;17;18;19,Manchester,Active,53.43700763,-2.194612363
Astley Sports Village,The Believe and Achieve Trust,,2019-20,Inclusive (disability) focussed,Mobility;Non-specific,SK16 5BL,Multisport,14;15;16;17;18;19,Tameside,Temporarily inactive,53.46914852,-2.069755965
Manchester Mavericks Wheelchair Basketball Club,Manchester Mavericks Wheelchair Basketball Club,,2019-20,Inclusive (disability) focussed,,M41 7FJ,Wheelchair BB,14;15;16;17;18;19,Trafford,Active,53.45750677,-2.341545615
DMSF - Ardwick,DMSF,,2019-20,Multisport,,M13 0LF,Multisport,14;15;16;17;18;19,Manchester,Active,53.46173754,-2.205556081
DMSF/ Teenage Works- Mutli Sport,Collyhurst Junior Football Club,,2019-20,Female focussed;LSEG focussed;Multisport,,M35 9RD,Multisport,14;15;16;17;18;19,Oldham,Active,53.50822073,-2.152548671
Wrestling - Boys and Girls club of GM,Wrestling Clubs GM,,2019-20,Female focussed;LSEG focussed,,M30 0GY,Wrestling,14;15;16;17,Salford,Active,53.48343617,-2.352710627
St James Secondary School - Taekwondo,HUB CLUB IN DEVELOPMENT,,2019-20,Female focussed;Inclusive (disability) focussed,,SK8 6PZ,Taekwondo,14;15,Stockport,Active,53.3595852,-2.196889253
Bridgehall Multisports,Standalone Club,,2019-20,LSEG focussed,,SK3 8LX,Multisport,14;15;16;17;18;19,Stockport,Active,53.39357932,-2.170802339
Bonar Park Multisports,Standalone Club,,2019-20,LSEG focussed;Youth violence focussed,,SK3 0HR,Multisport,14;15;16;17;18;19,Stockport,Active,53.40428385,-2.178396883
FNP Heywood Sports Village,Matthew Moss Youth Centre,,2019-20,Female focussed,,OL10 4TW,Dance,14;15;16;17;18,Rochdale,Active,53.59594901,-2.225942179
FNP Rochdale Leisure Centre,Matthew Moss Youth Centre,,2019-20,Female focussed,,OL16 2HZ,Dance,14;15;16;17;18,Rochdale,Active,53.61816655,-2.147970576
Inclusion Club,Link4Life Culture & Leisure Trust,,2019-20,Inclusive (disability) focussed,,OL16 1ZL,Multisport,14;15;16;17;18,Rochdale,Active,53.61129952,-2.147326784
Primal Boxing,Primal Boxing and Fitness,,2019-20,LSEG focussed,,BL9 5BL,Boxing,14;15;16;17;18;19,Bury,Temporarily inactive,53.6007229,-2.292131954
Radcliffe Girls and Boys Club,Radcliffe Elite Boxing Club,,2019-20,BME focussed;Female focussed;Inclusive (disability) focussed;LSEG focussed,Mental health,M26 2XB,Boxing,14;15;16;17;18;19,Bury,Temporarily inactive,53.56982436,-2.314239579
Soccor Centre- Softball,Manchester Softball league,BaseballSoftballUK,2019-20,Female focussed;LGBT focussed,,M17 8DD,Baseball/Softball,16;17;18;19,Trafford,Active,53.46838925,-2.364171551
Rainbow Haven - Softball,Manchester Softball league,BaseballSoftballUK,2019-20,BME focussed;Female focussed;LSEG focussed,,M18 8TJ,Baseball/Softball,16;17;18;19,Manchester,Active,53.4692563,-2.155648145
Rainbow Haven - Softball- Salford,Manchester Softball league,BaseballSoftballUK,2019-20,BME focussed;Female focussed;LSEG focussed,,M6 5PN,Baseball/Softball,16;17;18;19,Salford,Active,53.48580016,-2.292894192
Rochdale Islamic Girls Group,Us Girls,,2019-20,BME focussed;Female focussed,,OL16 2HZ,Multisport,14;15;16,Rochdale,Active,53.61816655,-2.147970576
Hopwood Hall Futsal,Hopwood Hall College,,2019-20,Male focussed,,OL12 6RY,Football,16;17;18;19,Rochdale,Active,53.61649546,-2.161178309
Rochdale Hornets Girls Rugby League,Rochdale Hornets,,2019-20,Female focussed,,OL11 5DR,Rugby League,12;13;14;15;16,Rochdale,Active,53.61888891,-2.178559579
YOU CAN - Community Walking,Salford Community Leisure;Salford Youth Service;You Can,YOU CAN - Disability focused youth group,2019-20,Inclusive (disability) focussed,Chronic health condition;Learning;Memory;Mental health;Mobility;Other,M6 6QT,Multisport,11;12;13;14;15;16;17;18;19;20,Salford,Temporarily inactive,53.49494412,-2.277128156
St. Patrick's RC High School,Eccles ABC;Salford Community Leisure,St. Patrick's RC High School,2019-20,Female focussed;Multisport,,M30 7JJ,Multisport,14;15;16,Salford,Temporarily inactive,53.48262838,-2.364278412
Co-op Academy Swinton,Olivers ABC,SportsGroup Ltd.,2019-20,LSEG focussed,,M27 6JU,Boxing,13;14;15;16,Salford,Temporarily inactive,53.51622689,-2.338201683
Newbridge Zumba,Newbridge Academy,Newbridge College,2019-20,Inclusive (disability) focussed,Non-specific,OL8 3PH,Dance,14;15;16,Oldham,Temporarily inactive,53.51402034,-2.136507161
Isaan Thai boxing,Titanium North West,,2019-20,Inclusive (disability) focussed,Mental health;Non-specific,OL4 1BE,Martial Arts,16;17;18;19,Oldham,Active,53.53866691,-2.092023413
Copley Academy (Blaze Cheer),Blaze Cheer Club,Blaze Cheer Club,2019-20,Inclusive (disability) focussed,Non-specific,SK15 5RR,Gymnastics,14;15;16;17;18;19,,Temporarily inactive,,
Seashell Trust,Seashell Trust,,2019-20,Inclusive (disability) focussed,Chronic health condition;Hearing;Learning,SK8 6RQ,Football,14;15;16;17;18;19,Stockport,Active,53.35903729,-2.212349763
Priestnall School,Priestnall School,Denton Community College,2019-20,Female focussed;Inclusive (disability) focussed,Mental health,SK4 3HP,Tennis,14;15,Stockport,Temporarily inactive,53.41754837,-2.198134996
Priestnall School,Priestnall School,,2019-20,BME focussed;LSEG focussed,,SK4 3HP,Table Tennis,11;12;13;14;15,Stockport,Temporarily inactive,53.41754837,-2.198134996
Street Shakers,Radcliffe URC,,2019-20,Female focussed,,M26 3WQ,Dance,14;15;16,Bury,Temporarily inactive,53.56155641,-2.326801037
Street Shakers,Radcliffe URC,,2019-20,Inclusive (disability) focussed,Other,BL9 0BG,Boxing,16;17;18;19,Bury,Temporarily inactive,53.58736753,-2.294653555
Sharples Futsal Club,Wanderers Soccer School,Wanderers Soccer School,2019-20,BME focussed;LSEG focussed,,BL1 8SN,Football,11;12;13;14;15,Bolton,Temporarily inactive,53.60700271,-2.422800759
Depdale Water Sports,Debdale - Outdoor Activity Club,,2019-20,LSEG focussed,,M18 7LJ,Sailing,14;15;16;17;18,Manchester,Temporarily inactive,53.45961483,-2.159212873
British Muslim heritage centre,British Muslim Heritage Centre,,2019-20,BME focussed;LSEG focussed,,M16 8BP,Multisport,14;16;17;18,Manchester,Temporarily inactive,53.44865315,-2.262927419
Snow Camp,Snow Camp,Snow Camp,2019-20,BME focussed;LSEG focussed;Youth violence focussed,,M41 7JA,Snowsport,14;15;16;17;18;19,Trafford,Temporarily inactive,53.46778141,-2.360068482
Abbey Hey Lane - Softball,Manchester Softball league,BaseballSoftballUK,2019-20,BME focussed;LSEG focussed,,M18 8TJ,Baseball/Softball,17;18;19,Manchester,Active,53.4692563,-2.155648145
Young Champs,Young Champs,,2019-20,BME focussed;Female focussed;LSEG focussed,,M13 0LF,Multisport,11;12;13;14;15,Manchester,Temporarily inactive,53.46173754,-2.205556081
Z Arts,Z arts,,2019-20,Female focussed;LSEG focussed,,M15 5PB,Dance,17;18;19,Manchester,Temporarily inactive,53.4624228,-2.251488721
Z arts - Powerhouse,Z Arts,,2019-20,Female focussed;LSEG focussed,,M14 4SL,Dance,17;18;19,Manchester,Temporarily inactive,53.45734879,-2.240282777
Z Arts,Z Arts,Denton Community College,2019-20,Female focussed;LSEG focussed,,M5 3RX,Dance,17;18;19,Salford,Temporarily inactive,53.47623684,-2.273269231
Oldham Ability Counts,Oldham Ability Counts,,2019-20,LSEG focussed,,OL8 3EP,Football,14;15;16;17;18;19,Oldham,Temporarily inactive,53.52233553,-2.110436915
ACN Boxing - The Grange,ACN Boxing,,2019-20,LSEG focussed,,M13 3TQ,Boxing,14;15;16;17;18;19,,Temporarily inactive,,
Proud Trust - Stockport,The Space,Proud Trust,2019-20,LGBT focussed,,SK1 1HD,Multisport,14;15;16;17;18;19,Stockport,Temporarily inactive,53.41010384,-2.15651538
Proud Trust - Manchester,Proud Trust,Proud Trust,2019-20,LGBT focussed,,M1 3HF,Multisport,14;15;16;17;18;19,Manchester,Temporarily inactive,53.47764987,-2.234384869
Proud Trust - Wythenshawe,Wythenshawe Forum,Proud Trust,2019-20,LGBT focussed,,M22 5RX,Multisport,14;15;16;17;18;19,Manchester,Temporarily inactive,53.37966536,-2.263584763
Our Lady's Dodgeball,Standalone Club,,2019-20,BME focussed;Female focussed;LSEG focussed,,M9 0RP,Dodgeball,14;15;16,Manchester,Temporarily inactive,53.53579929,-2.217186661
Skating Edge Roller Skating Club,Standalone Club,Skating Edge Artistic Academy,2019-20,BME focussed;LSEG focussed;Youth violence focussed,,M11 1GN,Roller Sport,14;15;16;17,Manchester,Temporarily inactive,53.47370023,-2.160094312
Bolton Arena Teen Gym,Standalone Club,Bolton Arena,2019-20,Inclusive (disability) focussed;LSEG focussed,Mental health,BL6 6LB,Gym/Fitness,14;15;16;17,Bolton,Temporarily inactive,53.57863407,-2.536667174
ACN Urban Stars Basketball,Active Communities Network (The Grange),Active Communities Network,2019-20,BME focussed;LSEG focussed;Youth violence focussed,,M18 8RL,Basketball,11;12;13;14,Manchester,Temporarily inactive,53.46625047,-2.151238148
Proud Trust - Oldham - Mahdlo,Mahdlo,Proud Trust,2019-20,LGBT focussed,,OL1 3SE,Multisport,14;15;16;17;18;19,Oldham,Temporarily inactive,53.54381436,-2.107006425
Proud Trust -Rochdale,Connections Rochdale,Proud Trust,2019-20,LGBT focussed,,OL16 1PA,Multisport,14;15;16;17;18;19,Rochdale,Temporarily inactive,53.61526513,-2.153418053
Proud Trust - Trafford,Talk Shop,Proud Trust,2019-20,LGBT focussed,,M33 7ZF,Multisport,14;15;16;17;18;19,Trafford,Temporarily inactive,53.42485711,-2.318572685
Proud Trust,xxxxxxx,Proud Trust,2019-20,LGBT focussed,,BL1 1SE,Multisport,14;15;16;17;18;19,Bolton,Temporarily inactive,53.57715069,-2.429873894
Proud Trust - Manchester Uni,Manchester Uni,Proud Trust,2019-20,LGBT focussed,,M15 6BH,Multisport,14;15;16;17;18;19,Manchester,Temporarily inactive,53.4706675,-2.23767613
Denton Community Club,Denton Community College,,2019-20,LSEG focussed,,M34 3PB,Multisport,14;15,Tameside,Temporarily inactive,53.46077473,-2.120610408
Wigan Athletic CT LGBT,Wigan Athletic Community Trust,,2019-20,LGBT focussed,,WN5 9XN,Multisport,14;15;16;17;18,Wigan,Active,53.54220703,-2.67057269
Leigh Miners Rangers Girls,Leigh Miners ARLFC,,2019-20,Female focussed,,wn7 2nz,Rugby League,14;15;16,,Active,,
Wigan Cosmos football,Wigan Cosmos FC,,2019-20,LSEG focussed,,WN2 2BU,Football,14;15;16,Wigan,Active,53.54012024,-2.610369724
Cherrybrook FC satellite,Cherrybrook FC,,2019-20,LSEG focussed,,WN3 6LB,Football,14;15;16,Wigan,Active,53.5161389,-2.667053917
Abraham Moss Warriors,Abraham Moss Warriors,Abraham Moss Warriors,2020-21,BME focussed;LSEG focussed,,M8 0QL,Multisport,13;14;15,Manchester,Active,53.50473357,-2.225909208
Youth on Solid Ground,Youth Community on solid ground,Youth Commuinity on Solid Ground,2020-21,BME focussed;LSEG focussed,,M16 0BZ,Multisport,11;12;13;14,Manchester,Active,53.44737996,-2.269500089
Turkey Lane & Monsall Neighbourhood Centre,Turkey Lane & Monsall Neighbourhood Centre,,2020-21,BME focussed;LSEG focussed,,M40 8PR,Multisport,11;12;13;14,Manchester,Active,53.50162849,-2.208146334
Collyhurst and Moston Boxing club,Collyhurst and Moston Boxing club,,2020-21,BME focussed;LSEG focussed,,M40 9DE,Boxing,12;13;14;15,Manchester,Active,53.5092988,-2.190600232
Reflecteen Hub,Reflecteen Hub,,2020-21,BME focussed;LSEG focussed,,M9 5TT,Multisport,12;13;14;15;16,Manchester,Active,53.5102392,-2.213919181
Trafford,Trafford Handball Club,,2019-20,Female focussed,,M41 7FJ,Handball,14;15;16;17;18;19,Trafford,Active,53.45750677,-2.341545615
ACN Boxing The Grange,ACN Boxing,Active Communities Network,2019-20,BME focussed;Female focussed;Youth violence focussed,,M11 3TQ,Boxing,14;15;16,Manchester,Temporarily inactive,53.47942167,-2.199221831
Denton Community College,Denton Community College,,2019-20,No specific focus,,M34 3NG,Gym/Fitness,14;15,Tameside,Temporarily inactive,53.45840074,-2.121356795
City in the community,CITC Foundation,,2019-20,Multisport,,M11 3FF,Multisport,14;15;16;17;18;19,Manchester,Temporarily inactive,53.48395777,-2.201368143
Lancashire Lions VISC,Lancashire Lions VICC,,2019-20,Inclusive (disability) focussed,Visual,M90RP,Goalball,14;15;16;17;18;19,Manchester,Temporarily inactive,53.53579929,-2.217186661
Link4Life-Thrive,Link4Life Culture & Leisure Trust,,2019-20,BME focussed;Inclusive (disability) focussed;LSEG focussed,Mental health,OL16 1XL,Multisport,11;12;13;14;15;16;17;18;19,Rochdale,Active,53.6156521,-2.153086856
